GeoFips,GeoName,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2
0,United States,331295979,331453875,331625387,331798967,331744065,331901960,332229899,332536080,332727966,333070786,333549569,334032634,334391329,334769235
1000,Alabama,5021640,5027432,5034420,5039801,5041536,5046570,5053578,5059537,5063715,5070299,5078753,5087019,5093570,5100607
2000,Alaska *,733706,733103,733143,733537,733498,733882,734165,733985,733596,733543,733733,733988,733976,733983
4000,Arizona,7139187,7165174,7191828,7214058,7231118,7252792,7277739,7301350,7322144,7346081,7372850,7399147,7423454,7448318
5000,Arkansas,3010772,3012627,3016382,3020270,3021935,3025716,3030711,3034976,3038136,3042832,3049076,3055537,3060338,3065317
6000,California,39545040,39517338,39462462,39377778,39269887,39182051,39133085,39104944,39065401,39038573,39016410,38987574,38962171,38938634
8000,Colorado,5768112,5778838,5788904,5796164,5799576,5806789,5815513,5822396,5827381,5835206,5844652,5853562,5861136,5869483
9000,Connecticut,3606763,3601363,3601208,3608210,3612567,3619364,3624208,3624849,3624088,3625132,3627756,3630386,3631408,3632752
10000,Delaware,988695,990972,993877,997226,999823,1003045,1006651,1010048,1013053,1016512,1020547,1024703,1028275,1031869
11000,District of Columbia,689255,680161,670686,670261,669471,668984,669227,669939,670514,671333,672416,673576,674498,675378
12000,Florida,21511894,21562168,21623609,21686475,21733050,21793856,21883537,21987888,22083433,22188688,22308118,22430844,22540125,22649343
13000,Georgia,10701854,10719951,10738484,10754601,10763742,10779018,10804804,10835707,10863446,10895589,10930476,10964666,10997294,11030716
15000,Hawaii *,1455837,1453077,1450786,1450047,1448486,1447467,1446461,1444850,1442755,1440942,1439873,1439137,1437817,1436129
16000,Idaho,1834168,1844003,1856351,1870354,1882938,1896960,1908887,1917478,1925336,1934276,1944123,1954102,1963122,1972393
17000,Illinois,12820707,12798506,12775911,12752499,12720374,12696502,12674971,12648456,12617700,12592788,12573863,12555747,12531646,12507948
18000,Indiana,6782502,6786638,6792812,6799816,6801915,6808941,6816801,6821323,6823399,6829160,6838083,6847255,6852870,6859216
19000,Iowa,3189794,3190206,3191965,3194123,3193794,3196007,3198514,3199060,3198287,3199402,3202105,3204766,3205641,3207020
20000,Kansas,2937615,2937648,2938365,2938748,2936954,2937271,2938237,2937961,2936539,2936649,2938203,2939878,2939987,2940339
21000,Kentucky,4505176,4506276,4507881,4508175,4505154,4505590,4507817,4508961,4508491,4510575,4514392,4518051,4519779,4522240
22000,Louisiana,4659601,4654308,4649231,4643771,4635127,4629341,4623047,4613712,4602918,4594096,4587974,4582797,4574644,4566258
23000,Maine,1361800,1362838,1365481,1369080,1371535,1375150,1378435,1380386,1381711,1383964,1386913,1389886,1391950,1394333
24000,Maryland,6175972,6174685,6174315,6175626,6172763,6173439,6174132,6171609,6167083,6164985,6165750,6167143,6165742,6164151
25000,Massachusetts,7028783,7012239,6996016,6995359,6989649,6988905,6989614,6987382,6982568,6981430,6983195,6984733,6983342,6982778
26000,Michigan,10079094,10072557,10067052,10060328,10046169,10039264,10038398,10037145,10032219,10032510,10035513,10037140,10036476,10037592
27000,Minnesota,5704045,5707692,5710855,5711863,5708641,5709829,5712902,5713991,5712901,5715136,5719458,5723286,5724901,5727610
28000,Mississippi,2963054,2959452,2957494,2955851,2952118,2950169,2948769,2946330,2942918,2940785,2940143,2939905,2938036,2936148
29000,Missouri,6153939,6153918,6156857,6161554,6161678,6166400,6171640,6173358,6172763,6175570,6181604,6188012,6190710,6194031
30000,Montana,1082950,1085549,1089635,1094577,1098614,1103549,1108457,1112570,1116206,1120524,1125433,1130403,1134700,1139179
31000,Nebraska,1960675,1961910,1963039,1963501,1962495,1962979,1964366,1965376,1965617,1966961,1969104,1971222,1972427,1973937
32000,Nevada,3099098,3109915,3119951,3128073,3134189,3142028,3150693,3158544,3165386,3173377,3183003,3193101,3201669,3210010
33000,New Hampshire,1376787,1377949,1379899,1382306,1383600,1386037,1388653,1390497,1391774,1393921,1396698,1399433,1401427,1403702
34000,New Jersey,9285445,9279626,9272625,9272868,9266892,9266682,9268316,9266596,9261823,9260932,9264314,9268310,9268202,9268072
35000,New Mexico,2116618,2117821,2118531,2118388,2116921,2116568,2116543,2115749,2114248,2113464,2113929,2114723,2114371,2113761
36000,New York,20208005,20153137,20079956,20019882,19946275,19885092,19837407,19792001,19739890,19696302,19662478,19630489,19588917,19547297
37000,North Carolina,10429512,10443511,10465589,10496279,10519491,10549388,10583891,10616910,10646213,10680422,10719828,10760134,10795284,10830837
38000,North Dakota,778767,779252,779439,779111,778225,777945,778204,778490,778459,778917,779594,780216,780560,781084
39000,Ohio,11799446,11797391,11795086,11788248,11772609,11765745,11764806,11762147,11755144,11754550,11758175,11760917,11759406,11759780
40000,Oklahoma,3957338,3961801,3968804,3975870,3980153,3987091,3995308,4002336,4007907,4015447,4025092,4035155,4042959,4050893
41000,Oregon,4234375,4240705,4246905,4250320,4250521,4253865,4254863,4250683,4244811,4241219,4239823,4238535,4234903,4231669
42000,Pennsylvania,13003143,12997404,12998857,13005020,13001106,13006850,13008959,12998486,12982683,12974090,12972336,12970954,12962002,12954494
44000,Rhode Island,1097090,1096785,1096607,1096909,1096404,1096661,1096729,1095888,1094623,1093895,1093830,1093817,1093155,1092518
45000,South Carolina,5112468,5124688,5140351,5156579,5168982,5184655,5205164,5227422,5247754,5270524,5295921,5321770,5345090,5368708
46000,South Dakota,886122,887168,888965,891158,892667,894889,897985,901347,904356,907898,911868,915861,919371,923045
47000,Tennessee,6903725,6917594,6931860,6943392,6949963,6961467,6979542,6999917,7017888,7039526,7064060,7088681,7110326,7132820
48000,Texas,29100754,29186829,29276934,29362239,29430418,29513713,29620713,29738009,29847338,29966825,30100034,30237905,30364317,30488294
49000,Utah,3265379,3277435,3290978,3305105,3317152,3331472,3344651,3354876,3364130,3375003,3386784,3398520,3409445,3420739
50000,Vermont,642976,642948,643504,644626,645207,646306,647075,647081,646768,646894,647311,647721,647726,647904
51000,Virginia,8626950,8633191,8640320,8646746,8647201,8653137,8661721,8668023,8671440,8678805,8690051,8701756,8709549,8717658
53000,Washington,7695191,7713990,7727186,7732262,7731997,7736974,7747312,7758265,7766521,7778616,7792429,7804904,7816355,7829162
54000,West Virginia,1795141,1792438,1790952,1789708,1786966,1785775,1784473,1781784,1778320,1775998,1774723,1773574,1771124,1768959
55000,Wisconsin,5892355,5894488,5895118,5891762,5883953,5880671,5882435,5885218,5885708,5889603,5894925,5898992,5901900,5906288
56000,Wyoming,576664,577180,577921,578463,578566,579119,579790,580244,580464,581017,581847,582701,583236,583839
91000,New England,15114199,15094122,15082715,15096490,15098962,15112423,15124714,15126083,15121532,15125236,15135703,15145976,15149008,15153987
92000,Mideast,50350515,50275985,50190316,50140883,50056330,50004092,49964692,49908679,49835046,49784154,49757841,49735175,49687636,49641261
93000,Great Lakes,47374104,47349580,47325979,47292653,47225020,47191123,47177411,47154289,47114170,47098611,47100559,47100051,47082298,47070824
94000,Plains,21610957,21617794,21629485,21640058,21634454,21645320,21661848,21669583,21668922,21680533,21701936,21723241,21733597,21747066
95000,Southeast,85241787,85353636,85496573,85641648,85725265,85864682,86067054,86281167,86464672,86688139,86953515,87224734,87455159,87689611
96000,Southwest,42313897,42431625,42556097,42670555,42758610,42870164,43010303,43157444,43291637,43441817,43611905,43786930,43945101,44101266
97000,Rocky Mountain,12527273,12563005,12603789,12644663,12676846,12717889,12757298,12787564,12813517,12846026,12882839,12919288,12951639,12985633
98000,Far West,56763247,56768128,56740433,56672017,56568578,56496267,56466579,56451271,56418470,56406270,56405271,56397239,56386891,56379587
